k,lr,lambda_reg,max_iter,recall@10,precision@10,ndcg@10
10,0.05,0.0001,50,0.20609503686865868,0.2550478214665235,0.31757417818549666
10,0.05,0.0001,100,0.20036283912287126,0.25951115834218774,0.3168027186253389
10,0.05,0.0001,200,0.19305086444094882,0.2530286928799135,0.3098120075147688
10,0.05,0.001,50,0.1983540167436047,0.2581296493092441,0.3133060133228208
10,0.05,0.001,100,0.19718947679513532,0.262167906482464,0.3203293332114928
10,0.05,0.001,200,0.19739717168294818,0.25812964930924437,0.31534320572947533
10,0.05,0.01,50,0.20631261776474033,0.264718384697129,0.32047636834998405
10,0.05,0.01,100,0.20277516076187607,0.26790648246546056,0.32706733562102636
10,0.05,0.01,200,0.20613832089514136,0.2706695005313483,0.3299053922350488
20,0.001,0.0001,50,0.1113199610518912,0.15696068012752235,0.1888301784827269
20,0.001,0.0001,100,0.11013888270045803,0.1573857598299666,0.18891543162025135
20,0.001,0.0001,200,0.10570612587162671,0.15717321997874467,0.18859112316017668
20,0.001,0.001,50,0.1079257789003774,0.15632306057385614,0.1877473283013342
20,0.001,0.001,100,0.10226394769917198,0.153453772582358,0.1857115708444974
20,0.001,0.001,200,0.09967008481568491,0.15270988310308062,0.184953717575434
20,0.001,0.01,50,0.1124815333780505,0.15706695005313334,0.18873441529176477
20,0.001,0.01,100,0.10410888459082276,0.15611052072263412,0.18754699160194832
20,0.001,0.01,200,0.10269168634340914,0.15547290116896792,0.18712428376422585
20,0.01,0.0001,50,0.14290180394722649,0.21636556854410038,0.2558693340782929
20,0.01,0.0001,100,0.20899083453272763,0.27906482465462185,0.34348945209509535
20,0.01,0.0001,200,0.21159653297673878,0.26780021253984987,0.3329764915857929
20,0.01,0.001,50,0.14513278595052223,0.21668437832093346,0.25741490231056063
20,0.01,0.001,100,0.20375621003369668,0.2733262486716248,0.3377757889388944
20,0.01,0.001,200,0.21318758775563854,0.2686503719447383,0.3323660482187559
20,0.01,0.01,50,0.14058646353773852,0.21360255047821292,0.25397060210064754
20,0.01,0.01,100,0.20192390703380847,0.2709883103081813,0.33504984880293576
20,0.01,0.01,200,0.22772592231830305,0.2907545164718381,0.3592853879702623
20,0.05,0.0001,50,0.19577304772596596,0.2433581296493078,0.3017334703960999
20,0.05,0.0001,100,0.19362126435772184,0.2385759829968104,0.2973589184461954
20,0.05,0.0001,200,0.18603283826217112,0.23591923485653424,0.28270016674333226
20,0.05,0.001,50,0.2093811970197751,0.25504782146652366,0.3214357492759269
20,0.05,0.001,100,0.196819147756057,0.24335812964930764,0.29809560244989364
20,0.05,0.001,200,0.19673712780660976,0.24633368756641746,0.3022986089381655
20,0.05,0.01,50,0.2095700643239495,0.2765143464399566,0.33369731573907735
20,0.05,0.01,100,0.20080441611233288,0.2684378320935161,0.3218402263906724
20,0.05,0.01,200,0.20734120161572972,0.27162592986184797,0.3314518283841195
50,0.001,0.0001,50,0.10838410468073607,0.1552603613177457,0.18711342069103484
50,0.001,0.0001,100,0.10650207400738465,0.1563230605738562,0.18780392115345693
50,0.001,0.0001,200,0.10622954933944323,0.15706695005313362,0.18874828372169458
50,0.001,0.001,50,0.10679981440782808,0.15494155154091258,0.18660741760587826
50,0.001,0.001,100,0.10643444109695681,0.15557917109457883,0.18762716793818515
50,0.001,0.001,200,0.10521161134163708,0.15685441020191151,0.1882414314651472
50,0.001,0.01,50,0.1133111202718096,0.15834218916046597,0.1902632566726994
50,0.001,0.01,100,0.10245795077044617,0.15398512221041316,0.18583966341065353
50,0.001,0.01,200,0.09681643533760033,0.15356004250796904,0.18505908983721248
50,0.01,0.0001,50,0.1342918680757025,0.2027630180658858,0.2396768905651003
50,0.01,0.0001,100,0.19957018416608766,0.2729011689691803,0.33576037997319574
50,0.01,0.0001,200,0.2207091901298728,0.27407013815090214,0.3434264050367916
50,0.01,0.001,50,0.12970350232977418,0.20159404888416432,0.23803507029017815
50,0.01,0.001,100,0.19977699351675474,0.27555791710945676,0.3366753309851811
50,0.01,0.001,200,0.22384246921955203,0.2766206163655675,0.3433416044807699
50,0.01,0.01,50,0.13222290193101577,0.2009564293304978,0.23892220138943726
50,0.01,0.01,100,0.1973456699097039,0.2651434643995734,0.32603229232870573
50,0.01,0.01,200,0.2230005052160881,0.2936238044633372,0.3625438296244642
50,0.05,0.0001,50,0.20314422950672442,0.24080765143464242,0.3022530439230699
50,0.05,0.0001,100,0.18298704935793275,0.2141339001062683,0.26926418411532693
50,0.05,0.0001,200,0.16263340300937518,0.19744952178533337,0.24308055583430377
50,0.05,0.001,50,0.2028157367707223,0.24835281615302734,0.3094524259166068
50,0.05,0.001,100,0.19051894920781032,0.22996811902231518,0.28682003337792067
50,0.05,0.001,200,0.1798560992158088,0.21562167906482338,0.2635492500795096
50,0.05,0.01,50,0.21795878237241667,0.2818278427205094,0.3432423721830989
50,0.05,0.01,100,0.21693465505120654,0.27991498405951065,0.33893036534029336
50,0.05,0.01,200,0.21735245233704376,0.27874601487778844,0.3466052222450903
